阿里地区,阿里监测站
阿勒泰地区,小东沟
阿里地区,阿里地委
阿勒泰地区,市站
阿克苏地区,电视台
阿坝州,州农科所
阿克苏地区,艺术中心
阿坝州,州监测站
阿坝州,马师校
驻马店,市一纸厂　
驻马店,市彩印厂　
驻马店,天方二分厂　
自贡,青杠林路
自贡,檀木林体育馆
玉树州,玉树县结古镇
榆林,红石峡森林公园　
榆林,世纪广场　
榆林,环保监测大楼　
伊犁哈萨克州,市环保局
伊犁哈萨克州,新政府片区
伊犁哈萨克州,第二水厂
延边州,妇幼医院
烟台,牟平检察院
延边州,延边医院
延边州,朝阳川镇医院
西双版纳州,景洪市江南
西双版纳州,景洪市江北
新乡,市委党校
兴安盟,北滨河
湘西州,跃进水库
湘西州,州政府
湘西州,吉首市计生局
乌兰察布,光明街小学
文山州,州水务局
乌鲁木齐,培训基地
文山州,市便民服务中心
铜仁地区,铜仁卫校
吐鲁番地区,市环保局
铜仁地区,铜仁七中
吐鲁番地区,地区环保局
塔城地区,东门外小游园
天津,勤俭道
天津,前进道
天津, 淮河道
天津,西四道
山南地区,山南监测站
山南地区,山南人民医院
山南,山南监测站
山南,山南人民医院
商丘,环境监测站　
商丘,粮食局　
商丘,睢阳区环保局　
商丘,第三人民医院　
三门峡,二  印
日喀则地区,日喀则监测站
三门峡,第一小学
日喀则地区,日喀则鸿达公司
日喀则,日喀则监测站
日喀则,日喀则鸿达公司
七台河,新建　
黔西南州,场坝街
黔西南州,坪东大道
黔东南州,市环境监测站
黔南州,小围寨
黔东南州,马坡井小学
黔东南州,凯里学院
怒江州,州监测站
怒江州,泸水一中
那曲地区,那曲监测站
那曲地区,那曲嘉兴医院
南阳,环保局　
牡丹江,环保大楼　
牡丹江,文化广场　
南昌,机电学校
林芝地区,林芝监测站
林芝,林芝监测站
林芝地区,林芝人民医院
林芝,林芝人民医院
临夏州,环保局
临夏州,州委党校
凉山州,青龙寺
凉山州,邛海宾馆
凉山州,西昌市政府
凉山州,凉山州政府
凉山州,长安
喀什地区,巡警大队
喀什地区,吾办
喀什地区,市环境监测站
鸡西,环保局　
鸡西,自来水公司　
莱芜,泰兴公司
鸡西,白酒厂　
莱芜,莱芜战役纪念馆
鸡西,气象局　
荆门,西山林语(启用161103)
焦作,市监测站　
焦作,市环保局　
呼伦贝尔,国华电力东
黄南州,同仁县隆务镇
红河州,雨过铺
红河州,污水处理厂
红河州,监测站
红河州,州图书馆
和田地区,地区站
淮南,大通区政府（已停运）
和田地区,古江巴格乡院内
黑河,交通局　
黑河,地震局　
哈密地区,地区监测站
哈密地区,哈密师范学校
海西州,德令哈市
海南州,共和县恰卜恰镇
海东地区,平安县
海北州,海晏县西海镇
果洛州,玛沁县大武镇
甘孜州,将军桥
甘孜藏族自治州,州环保局
甘孜州,水桥子
贵港,江南子站　
甘南州,监测站
甘孜州,州环保局
阜新,长青街
福州,九龙
恩施州,湖北民院
恩施州,州电力总公司
迪庆州,古城
东营,开发区管委会
迪庆州,迪庆州站
德宏州,德宏州监测站
德宏州,芒市建设局
大兴安岭地区,环保局
德州,九衢泉纯净水厂
大兴安岭地区,公安局
大兴安岭地,环保局
大兴安岭地,公安局
大理州,大理市环境监测站
大理州,大理古城
楚雄州,州环境监测站
楚雄州,市经济开发区
昌吉州,天山天池
昌吉州,州监测站
昌都地区,昌都监测站
昌都,昌都监测站
昌吉州,新区政务中心
昌都地区,昌都地区昌都坝
昌都,昌都地区昌都坝
赤峰,银河街
